,ST,ST_conf,S1,S1_conf
first,0.1427429563059545,0.0003788212455524351,0.14274295621260327,0.0009422946680614636
second,0.8242856192389627,0.0020730577025436913,0.8242856192394337,0.0020254232660186586
third,0.032971424769555016,8.246226272634824e-05,0.03297142477002592,0.0004978816888372544
