,ST,ST_conf,S1,S1_conf
first,0.1427429563059545,0.0003538732060752735,0.14274295621260327,0.0010970022670836513
second,0.8242856192389627,0.0018119082185373422,0.8242856192394337,0.0019814770444262276
third,0.032971424769555016,8.038203825698635e-05,0.03297142477002592,0.0004559522789480324
