,ST,ST_conf,S1,S1_conf
first,0.1427429563059545,0.00033493481725094964,0.14274295621260327,0.0009709667440687635
second,0.8242856192389627,0.0018457368788038523,0.8242856192394337,0.002082507525101732
third,0.032971424769555016,7.968204814234513e-05,0.03297142477002592,0.0004358827312918055
