,ST,ST_conf,S1,S1_conf
first,0.1427429563059545,0.00038712694608914096,0.14274295621260327,0.0010101492760793917
second,0.8242856192389627,0.0018433216331927569,0.8242856192394337,0.0019828793157558224
third,0.032971424769555016,6.933073828582409e-05,0.03297142477002592,0.00044335958032648933
